icd10,icd9
B402,1160
B403,1160
B407,1160
B408,1160
B409,1160
B410,1161
B417,1161
B418,1161
B419,1161
B420,1171
B421,1171
B427,1171
B428,1171
B429,1171
B430,1172
B431,1178
B432,1178
B438,1172
B439,1172
B440,1173
B441,1173
B442,1173
B447,1173
B448,1173
B449,1173
B450,1175
B451,1175
B452,1175
B453,1175
B457,1175
B458,1175
B459,1175
B460,1177
B461,1177
B462,1177
B463,1177
B464,1177
B465,1177
B468,1177
B469,1177
B470,1174
B471,0399
B479,0399
B480,1162
B481,1170
B482,1176
B483,1179
B484,1179
B487,118
B488,1179
B49,1179
B500,0840
B508,0840
B509,0840
B510,0841
B518,0841
B519,0841
B520,0842
B528,0842
B529,0842
B530,0843
B531,0844
B538,0844
B54,0846
B550,0850
B551,0851
B552,0855
B559,0859
B560,0863
B561,0864
B569,0865
B570,0860
B571,0862
B572,0860
B573,0861
B574,0861
B575,0861
B580,1301
B581,1305
B582,1300
B583,1304
B588,1307
B589,1309
B59,1363
B600,08882
B601,1368
B602,1368
B608,1368
B64,1368
B650,1200
B651,1201
B652,1202
B653,1203
B658,1208
B659,1209
B660,1210
B661,1211
B662,1218
B663,1213
B664,1212
B665,1214
B668,1218
B669,1219
B670,1220
B671,1221
B672,1223
B673,1223
B674,1224
B675,1225
B676,1226
B677,1227
B678,1228
B679,1229
B680,1230
B681,1232
B689,1233
B690,1231
B691,1231
B698,1231
B699,1231
B700,1234
B701,1235
B710,1236
B711,1238
B718,1238
B719,1239
B72,1257
B73,1253
B740,1250
B741,1251
B742,1256
B743,1252
B744,1255
B748,1256
B749,1259
B75,124
B760,1260
B761,1261
B768,1268
B769,1269
B770,1270
B778,1270
B779,1270
B780,1272
B781,1272
B787,1272
B789,1272
B79,1273
B80,1274
B810,1271
B811,1275
B812,1276
B813,1277
B814,1278
B818,1277
B820,1279
B829,129
B830,1280
B831,1281
B832,1288
B833,1288
B834,1288
B838,1288
B839,1289
B850,1320
B851,1321
B852,1329
B853,1322
B854,1323
B86,1330
B870,1340
B871,1340
B872,1340
B873,1340
B874,1340
B878,1340
B879,1340
B880,1338
B881,1341
B882,1341
B883,1342
B888,1368
B889,1349
B89,1369
B900,1371
B901,1372
B902,1373
B908,1374
B909,1370
B91,138
B92,1398
B940,1391
B941,1390
B942,1398
B948,1398
B949,1398
B950,04101
B951,04102
B952,04104
B953,04106
B9541,04103
B9542,04105
B9548,04109
B955,04100
B956,04111
B957,04119
B958,04110
B960,04181
B961,0413
B962,0414
B963,0415
B964,0416
B965,0417
B966,04182
B967,04183
B9681,04186
B9688,04189
B970,0790
B971,0791
B972,07989
B973,07959
B974,07989
B975,07989
B976,07989
B977,0794
B978,07989
B99,1369
C000,1400
C001,1401
C002,1409
C003,1403
C004,1404
C005,1405
C006,1406
C008,1408
C009,1409
C01,1410
C020,1411
C021,1412
C022,1413
C023,1414
C024,1416
C028,1418
C029,1419
C030,1430
C031,1431
C039,1439
C040,1440
C041,1441
C048,1448
C049,1449
C050,1452
C051,1453
C052,1454
C058,1458
C059,1455
C060,1450
C061,1451
C062,1456
C068,1458
C069,1459
C07,1420
C080,1421
C081,1422
C088,1428
C089,1429
C090,1461
C091,1462
C098,1468
C099,1460
C100,1463
C101,1464
C102,1466
C103,1467
C104,1468
C108,1468
C109,1469
C110,1470
C111,1471
C112,1472
C113,1473
C118,1478
C119,1479
C12,1481
C130,1480
C131,1482
C132,1483
C138,1488
C139,1489
C140,1490
C142,1491
C148,1498
C150,1500
C151,1501
C152,1502
C153,1503
C154,1504
C155,1505
C158,1508
C159,1509
C160,1510
C161,1513
C162,1514
C163,1512
C164,1511
C165,1515
C166,1516
C168,1518
C169,1519
C170,1520
C171,1521
C172,1522
C173,1523
C178,1528
C179,1529
C180,1534
C181,1535
C182,1536
C183,1530
C184,1531
C185,1537
C186,1532
C187,1533
C188,1538
C189,1539
C19,1540
C20,1541
C210,1543
C211,1542
C212,1548
C218,1548
C220,1550
C221,1551
C222,1550
C223,1550
C224,1550
C227,1550
C229,1550
C23,1560
C240,1561
C241,1562
C248,1568
C249,1569
C250,1570
C251,1571
C252,1572
C253,1573
C254,1574
C257,1578
C258,1578
C259,1579
C260,1590
C261,1591
C268,1598
C269,1599
C300,1600
C301,1601
C310,1602
C311,1603
C312,1604
C313,1605
C318,1608
C319,1609
C320,1610
C321,1611
C322,1612
C323,1613
C328,1618
C329,1619
C33,1620
C340,1622
C341,1623
C342,1624
C343,1625
C348,1628
C349,1629
C37,1640
C380,1641
C381,1642
C382,1643
C383,1649
C384,1639
C388,1648
C390,1650
C398,1658
C399,1659
C400,1704
C401,1705
C402,1707
C403,1708
C408,1709
C409,1709
C4101,17001
C4102,17002
C411,1701
C412,1702
C413,1703
C414,1706
C418,1709
C419,1709
C430,1720
C431,1721
C432,1722
C433,1723
C434,1724
C435,1725
C436,1726
C437,1727
C438,1728
C439,1729
C440,1730
C441,1731
C442,1732
C443,1733
C444,1734
C445,1735
C446,1736
C447,1737
C448,1738
C449,1739
C450,1639
C451,1589
C452,1641
C457,1718
C459,1719
C460,1760
C461,1761
C462,1762
C463,1765
C467,1768
C468,1768
C469,1769
C470,1710
C471,1712
C472,1713
C473,1714
C474,1715
C475,1716
C476,1717
C478,1718
C479,1719
C480,1580
C481,1588
